"","caseid","government_should_regulate_businesses_wave_1","racial_discrimination_hurts_black_people_wave_1","immigrants_strengthen_country_wave_1","corporations_make_too_much_profit_wave_1","homosexuality_should_be_accepted_wave_1","stricter_environmental_laws_damaging_wave_1","government_wasteful_inefficient_wave_1","poor_people_have_it_easy_wave_1","government_cannot_afford_to_help_needy_wave_1","best_way_peace_military_strength_wave_1","government_should_regulate_businesses_wave_5","racial_discrimination_hurts_black_people_wave_5","immigrants_strengthen_country_wave_5","corporations_make_too_much_profit_wave_5","homosexuality_should_be_accepted_wave_5","stricter_environmental_laws_damaging_wave_5","government_wasteful_inefficient_wave_5","poor_people_have_it_easy_wave_5","government_cannot_afford_to_help_needy_wave_5","best_way_peace_military_strength_wave_5","treat","bot_followers","substantive_question_correct_wave_2","substantive_question_correct_wave_3","substantive_question_correct_wave_4","animal_correct_wave_2","animal_correct_wave_3","animal_correct_wave_4","party_id_wave_1","party_id_weak_strong_wave_1","political_wave_1","freq_twitter_wave_1","bin_maker","percent_co_party","ideo_homogeneity_offline","friends_count_wave_1","gender","education","family_income","birth_year","northeast","north_central","south","west","endtime_wave_5","how_often_visit_twitter_wave_1","how_often_visit_twitter_wave_5","ideology_seven_point_wave_1","ideology_seven_point_wave_5"
"1",1,7,6,7,4,7,1,1,1,1,5,7,6,7,6,7,1,1,1,1,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,85,837,2,6,NA,1964,1,0,0,0,2017-11-18 15:33:20.333214,1,1,2,2
"2",2,7,7,7,6,7,1,2,1,2,2,7,7,7,7,7,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,837,2,5,NA,1995,0,0,1,0,2017-11-19 10:13:15.78863,1,1,2,2
"3",3,6,5,7,5,7,1,5,2,1,2,2,5,7,7,7,1,6,1,1,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,95,837,2,6,12,1964,0,0,1,0,2017-11-18 11:36:00.964191,1,1,2,2
"4",4,7,6,7,1,7,NA,1,1,1,6,7,7,7,5,7,5,1,1,1,4,1,1,1,1,1,0,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,1,5,11,1984.5,0,0,0,1,2017-11-18 14:23:35.657387,1,1,7,7
"5",5,6,5,7,5,7,2,2,1,2,5,6,5,6,6,7,2,2,2,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,70,837,1,5,NA,1964,0,1,0,0,2017-11-19 06:23:05.214771,1,1,2,2
"6",6,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,1,2,1,1,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,2511,1,5,8,1984.5,0,1,0,0,2017-11-18 12:32:37.452309,1,1,1,1
"7",7,6,5,6,6,6,2,2,2,2,3,7,5,7,7,6,2,2,2,2,4,1,1,0,1,1,0,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,1,6,9,1954,1,0,0,0,2017-11-18 11:34:09.942423,1,1,2,2
"8",8,7,7,7,7,7,1,4,1,1,1,7,7,7,7,7,1,4,1,2,2,1,1,1,1,1,0,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,25,837,2,5,3,1974,0,0,1,0,2017-11-18 12:17:23.768,1,1,1,1
"9",9,7,6,7,7,7,1,1,1,1,6,7,7,7,4,7,1,3,1,7,6,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,100,837,1,5,11,1954,0,1,0,0,2017-11-18 15:30:19.986656,1,1,2,2
"10",10,6,6,7,7,7,3,1,2,5,4,6,6,6,7,7,2,3,1,2,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.877430247533014,85,837,2,6,5,NA,1,0,0,0,2017-11-19 06:12:11.965422,1,2,2,2
"11",11,6,5,6,5,7,2,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,5,NA,1933,0,0,0,1,NA,1,NA,2,NA
